,normal_cell,cancer_cell,test,time (hr),concentration (ug/ml),Hydrodynamic diameter (nm),Zeta potential (mV),fitness
22,72.0,10.0,9.0,0.23404255319148934,0.10936943355895974,0.002145522388059701,0.7511472466081405,0.6699096445849136
23,74.0,10.0,3.0,0.9999999999999999,0.02999902999903,0.03451652386780906,0.7659711075441412,0.6689674008378329
30,3.0,20.0,9.0,0.23404255319148934,0.375,0.01743419446207941,0.4863636363636364,0.6677874950605371
24,74.0,20.0,7.0,0.23404255319148934,0.08781192988245617,0.041171259383596774,0.8240223463687151,0.6639042365926772
25,6.0,20.0,1.0,0.19148936170212766,0.44443750000000004,0.21896162528216703,0.5096929824561403,0.6575491418408975
26,1.0,20.0,1.0,0.23404255319148934,0.1124994453121533,0.04906771344455349,0.7417501088376143,0.6484218301527175
27,63.0,10.0,9.0,0.23404255319148934,0.0375,0.0,0.755566265060241,0.6438580290205492
28,75.0,35.0,5.0,0.23404255319148934,0.5,9.029345372460473e-05,0.5881545221530574,0.6433704792677574
29,62.0,20.0,5.0,0.23404255319148934,0.025,0.04225746268656717,0.7816170107553468,0.6417568597810075
31,76.0,20.0,9.0,0.23404255319148934,0.13168749999999999,0.041171259383596774,0.7511472466081405,0.6396649784502455
32,66.0,25.0,12.0,0.0,0.004249377655861034,0.009057527539779682,0.5609038308060654,0.6328096845181921
33,41.0,15.0,9.0,0.9999999999999999,0.045,0.03451652386780906,0.9979496575491864,0.628331759000236
34,6.0,20.0,12.0,0.19148936170212766,0.12151069604131193,0.131087513731234,0.5096929824561403,0.6271319916060056
35,41.0,15.0,4.0,0.48936170212765956,0.049999406249628904,0.01743419446207941,0.9278393025447692,0.6233252010104237
36,70.0,5.0,5.0,0.9999999999999999,0.5333333333333333,1.0,0.9397812810680299,0.6215585449791279
37,72.0,10.0,11.0,0.9999999999999999,0.09756944444444444,1.0,0.9397812810680299,0.6208521908382041
38,2.0,20.0,9.0,0.23404255319148934,0.1124994453121533,0.02177460717116613,0.7145093945720251,0.6198874302916042
39,1.0,10.0,5.0,0.19148936170212766,0.44443750000000004,0.21896162528216703,0.7741657077100114,0.6187366543452805
40,9.0,40.0,14.0,0.042553191489361694,0.0351243969527481,0.15540540540540537,0.12328004010918603,0.6160593426243125
41,75.0,15.0,9.0,0.9999999999999999,0.5333333333333333,0.0,0.5540951715881883,0.612640234740747
42,4.0,40.0,9.0,0.23404255319148934,0.44443750000000004,0.024385694968993336,0.5201765762170789,0.608264050472431
43,27.0,10.0,7.0,0.9999999999999999,0.019743873399208745,0.0,0.7511472466081405,0.6072618971388515
44,57.0,5.0,9.0,0.02127659574468085,0.011124381952738719,0.011610015386767382,0.5789473684210525,0.60539618401454
45,57.0,5.0,9.0,0.010638297872340424,0.005625,0.01743419446207941,0.5476644423260246,0.6046206911676899
46,59.0,20.0,9.0,0.9999999999999999,0.075,0.01743419446207941,0.7650428442929507,0.6024039743392484
47,76.0,10.0,8.0,0.7446808510638298,0.5555555555555556,0.0,0.5420888312912348,0.5982925699066003
48,76.0,50.0,5.0,0.23404255319148934,0.39999999999999997,0.010555815039701075,0.5881545221530574,0.5954329275503449
49,76.0,5.0,9.0,0.010638297872340424,0.005900036875230469,0.01743419446207941,0.5336876067565003,0.5939375623408337
