,material,Cell type,test,time (hr),concentration (ug/ml),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,viability (%)
1819,7,49,12,0.48936170212765956,0.3125,0.011050496572947268,0.6775203252032521,0.0,0.3701298701298701,0.8894251864853006,0.5652173913043479,0.3769935643353365
1820,7,49,12,0.48936170212765956,0.46875,0.011050496572947268,0.6775203252032521,0.0,0.3701298701298701,0.8894251864853006,0.5652173913043479,0.36429697822102886
1821,7,49,12,0.48936170212765956,0.625,0.011050496572947268,0.6775203252032521,0.0,0.3701298701298701,0.8894251864853006,0.5652173913043479,0.33334185739249034
1822,7,49,12,0.48936170212765956,0.9375,0.011050496572947268,0.6775203252032521,0.0,0.3701298701298701,0.8894251864853006,0.5652173913043479,0.30239099859353025
1823,7,49,12,0.48936170212765956,0.15625,0.017578216067515272,0.6421747967479675,0.0,0.3701298701298701,0.8894251864853006,0.5652173913043479,0.32699569535012574
1824,7,49,12,0.48936170212765956,0.3125,0.017578216067515272,0.7702845528455285,0.0,0.3701298701298701,0.8894251864853006,0.5652173913043479,0.27619656480415977
1825,7,49,12,0.48936170212765956,0.46875,0.017578216067515272,0.7702845528455285,0.0,0.3701298701298701,0.8894251864853006,0.5652173913043479,0.24048501896603164
1826,7,49,12,0.48936170212765956,0.625,0.017578216067515272,0.7702845528455285,0.0,0.3701298701298701,0.8894251864853006,0.5652173913043479,0.21588032220943615
1827,7,49,12,0.48936170212765956,0.9375,0.017578216067515272,0.7702845528455285,0.0,0.3701298701298701,0.8894251864853006,0.5652173913043479,0.1809572518433278
1828,7,49,12,0.48936170212765956,0.15625,0.018510747423882132,0.606829268292683,0.0,0.3701298701298701,0.8894251864853006,0.5652173913043479,0.28810467544644763
1829,7,49,12,0.48936170212765956,0.3125,0.018510747423882132,0.606829268292683,0.0,0.3701298701298701,0.8894251864853006,0.5652173913043479,0.2452457060051997
1830,2,2,7,0.48936170212765956,0.46875,0.018510747423882132,0.606829268292683,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.21429058517666116
1831,2,2,7,0.48936170212765956,0.625,0.018510747423882132,0.606829268292683,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.16667092869624517
1832,2,2,7,0.48936170212765956,0.9375,0.018510747423882132,0.606829268292683,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.14603418147721947
1833,2,2,7,0.48936170212765956,0.15625,0.017578216067515272,0.9337398373983741,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.2547713421131143
1834,2,2,7,0.48936170212765956,0.3125,0.017578216067515272,0.9337398373983741,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.18730767591527087
1835,2,2,7,0.48936170212765956,0.46875,0.017578216067515272,0.9337398373983741,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.16905340323061843
1836,2,2,7,0.48936170212765956,0.625,0.017578216067515272,0.9337398373983741,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.1341303328645101
1837,2,2,7,0.48936170212765956,0.9375,0.017578216067515272,0.9337398373983741,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.12143374675020245
1838,2,2,7,0.010638297872340424,0.015625,0.02690352963118385,0.5996747967479675,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.4262029578485275
1839,2,2,7,0.010638297872340424,0.0625,0.02690352963118385,0.7246747967479675,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.39431019051272215
1840,2,2,7,0.010638297872340424,0.125,0.02690352963118385,0.4577235772357724,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.4194391169074714
1841,2,2,7,0.010638297872340424,0.1875,0.02690352963118385,0.48536585365853663,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.3817457273153476
1842,2,2,7,0.010638297872340424,0.25,0.02690352963118385,0.7236585365853659,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.39817585134040834
1843,2,2,7,0.010638297872340424,0.3125,0.02690352963118385,0.5426829268292683,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.31699271192942086
1844,2,2,7,0.042553191489361694,0.015625,0.02690352963118385,0.5996747967479675,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.4068746537100968
1845,2,2,7,0.042553191489361694,0.0625,0.02690352963118385,0.7246747967479675,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.3962451519413545
1846,2,2,7,0.042553191489361694,0.125,0.02690352963118385,0.5735772357723578,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.29379874696330394
1847,2,2,7,0.042553191489361694,0.1875,0.02690352963118385,0.472479674796748,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.22518007074969104
1848,2,13,7,0.042553191489361694,0.25,0.02690352963118385,0.5735772357723578,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.2725397434258194
1849,2,13,7,0.042553191489361694,0.3125,0.02690352963118385,0.5426829268292683,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.2570728380854963
1850,2,13,7,0.23404255319148934,0.003125,0.08705180211684618,0.7134146341463415,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.4036653454374974
1851,2,13,7,0.23404255319148934,0.015625,0.08705180211684618,0.7134146341463415,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.31350637173421986
1852,2,13,7,0.23404255319148934,0.03125,0.08705180211684618,0.7134146341463415,0.3958944281524927,0.8279220779220784,0.5763492759982448,0.6086956521739129,0.1256744661807953
