,Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,x,rox,radii
3072,HepG2,NRU,Bi2O3,24,150.0,151.1111,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3073,HepG2,NRU,Bi2O3,6,0.0,100.0,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3074,HepG2,NRU,Bi2O3,6,20.0,116.6667,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3075,HepG2,NRU,Bi2O3,6,40.0,110.0,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3076,HepG2,NRU,Bi2O3,6,60.0,104.4444,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3077,HepG2,NRU,Bi2O3,6,80.0,111.1111,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3078,NRK-52E,NRU,Bi2O3,6,100.0,122.2222,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3079,NRK-52E,NRU,Bi2O3,6,120.0,121.1111,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3080,NRK-52E,NRU,Bi2O3,6,150.0,121.1111,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3081,NRK-52E,NRU,Bi2O3,3,0.0,100.0,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3082,NRK-52E,NRU,Bi2O3,3,20.0,110.0,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3083,NRK-52E,NRU,Bi2O3,3,40.0,120.0,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3084,NRK-52E,NRU,Bi2O3,3,60.0,115.5556,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3085,NRK-52E,NRU,Bi2O3,3,80.0,114.4444,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3086,Caco-2,NRU,Bi2O3,3,100.0,122.2222,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3087,Caco-2,NRU,Bi2O3,3,120.0,121.1111,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3088,Caco-2,NRU,Bi2O3,3,150.0,116.6667,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3089,Caco-2,NRU,Bi2O3,24,0.0,100.0,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3090,Caco-2,NRU,Bi2O3,24,20.0,82.2599,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3091,Caco-2,NRU,Bi2O3,24,40.0,76.7232,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3092,Caco-2,NRU,Bi2O3,24,60.0,83.8418,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3093,Caco-2,NRU,Bi2O3,24,80.0,85.4237,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
